Область,Товар,Количество
ВИННИЦКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,2
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,11
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,40
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,55
ВИННИЦКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,9
ВИННИЦКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,90
ВИННИЦКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,10
ВИННИЦКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,10
ВИННИЦКАЯ,Касодекс® табл. в / пл.об.150мг N28 *,1
ВИННИЦКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),5
ВИННИЦКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),6
ВИННИЦКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,34
ВИННИЦКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,70
ВИННИЦКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),105
ВИННИЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,88
ВИННИЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,21
ВИННИЦКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,1
ВИННИЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,5
ВИННИЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,16
ВИННИЦКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,143
ВИННИЦКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,404
ВИННИЦКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,3
ВИННИЦКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,3
