Назва продукту,"Всього, уп",Адреса клієнта-одержувача,Область України
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!126! Дніпропетровська обл., м.Жовті Води, вул.Ярослава Мудрого, 2-А",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, пр-т Гагаріна, 54В",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, пр-т 200-річчя Кривого Рогу, 24",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,25мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська обл., м.Кривий Ріг, вул.Мелешкіна, 38, прим.181",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",2,"Полтавська обл., м.Кременчук, вул.Небесної Сотні, 29/35",Полтавська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Полтавська обл., м.Кременчук, вул.Київська, 1/49",Полтавська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Полтавська обл., м.Кременчук, пр-т Лесі Українки,57",Полтавська
Симбікорт турбух. пор. дл/інг. 320мкг+9мкг 60д,3,"!96! Дніпропетровська обл., м.Кам'янське, пр-т Т.Шевченка, 24/30",Дніпропетровська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Бородінська, 20 б",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"м.Запоріжжя, вул.Ситова, 4а Аптека №27",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",3,"м.Запоріжжя, пр-т Соборний, 148, прим.№111 Аптека №5",Запоріжська
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Аптека_1  Парамонова, 6  м.Запоріжжя.",Запоріжська
"Будесонід Астразенека сусп.д/роз.0,5мг/мл 2мл №20",20,"м. Дніпро, вул. Суворова, 17",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"Дніпропетровська область, м.Дніпро, вул.Пастера, 6А",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!97! м.Дніпро, вул.Калинова, 1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!60! м.Дніпро, вул.Калинова, 82-Б, частина прим.5",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!270! Дніпропетровська область, м.Дніпро, вул.20-річчя Перемоги, 33, прим.1",
"Пульмікорт сусп.д/розп. 0,5мг/мл фл. 2мл №20 п/е",1,"!354! Дніпропетровська обл., м.Дніпро, вул.Данили Галицкого, 51, прим.3",
