Товар,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Крим,Луганська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернігівська,Чернівецька
Аримидекс табл.п/п/о 1мг №28,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Беталок Зок табл.п/о 100мг №30,5,1,9,0,2,0,4,5,18,0,0,0,14,1,23,1,12,1,1,0,0,1,1,2,0
Беталок Зок табл.п/о 25мг №14,24,11,2,0,5,3,5,49,31,0,0,0,13,4,32,1,4,0,16,10,0,3,4,0,2
Беталок Зок табл.п/о 50мг №30,14,3,2,0,6,2,3,29,57,0,0,0,19,3,43,1,0,0,1,1,0,2,3,2,2
Беталок р-р д/ин.1мг/мл 5мл амп.№5,2,0,3,0,0,0,0,3,6,0,0,0,3,0,3,0,0,0,1,6,0,0,0,0,0
Брилинта табл. п/о 90мг №56,11,4,12,0,3,2,6,13,146,0,0,0,6,11,26,8,8,0,1,4,0,3,4,6,7
Брилинта табл.п/п/о 60мг №56,0,0,1,0,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.25мг/мл конт.2мл №20,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.5мг/мл конт.2мл №20,8,0,4,0,0,7,10,4,0,0,0,0,21,0,16,0,0,5,2,0,0,11,0,0,1
Золадекс капс.д/подкож.введ.10.8мг шприц-аплик.№1,0,0,5,0,0,0,0,0,96,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1
Золадекс капс.д/подкож.введ.3.6мг шприц-аплик.№1,0,0,5,0,0,0,0,0,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Золадекс капс.д/подкож.введ.3.6мг шприц-аплик.№1 3уп.,0,0,12,0,0,0,2,0,20,0,0,0,3,0,13,0,0,0,0,4,0,0,0,0,0
Касодекс табл.п/п/о 150мг №28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Касодекс табл.п/п/о 50мг №28,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Комбоглиза XR табл.п/п/о 5мг/1000мг №28,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Крестор табл.п/о 10мг №28,1,0,1,0,4,0,1,15,131,0,0,0,7,2,19,1,0,0,0,5,0,5,3,5,3
Крестор табл.п/о 20мг №28,11,0,9,1,14,4,6,17,42,0,0,0,7,1,12,3,6,0,0,8,0,5,2,5,7
Крестор табл.п/о 5мг №28,7,3,3,0,0,0,0,6,77,4,0,0,2,4,37,1,0,0,1,3,0,2,2,0,4
Крестор табл.п/п/о 40мг №28,2,0,1,0,2,1,1,2,24,0,0,0,1,2,8,1,0,1,3,1,0,0,1,2,0
Ксигдуо Пролонг табл.п/п/о пролонг.действ.10/1000мг №28,5,1,3,1,2,0,0,0,29,0,0,0,5,1,29,1,0,0,1,0,0,0,0,1,0
Ксигдуо Пролонг табл.п/п/о пролонг.действ.5/1000мг №28,0,0,4,0,0,5,1,0,14,0,0,0,1,0,9,1,0,0,0,4,0,0,0,0,0
Линпарза табл.п/п/о 150мг №56,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Онглиза табл.п/п/о 5мг №30,0,0,5,0,1,4,3,0,8,1,0,0,2,1,9,0,0,2,0,0,0,0,0,0,0
Пульмикорт сусп.д/распылен.0.25мг/мл 2мл конт.№20,15,40,18,4,54,15,1,83,34,4,0,0,50,13,47,18,40,4,32,2,0,21,14,4,27
Пульмикорт сусп.д/распылен.0.5мг/мл 2мл конт.№20,29,19,68,14,22,18,18,102,293,6,0,0,63,30,126,17,25,2,10,18,1,19,17,22,43
Пульмикорт Турбухалер пор.д/инг.100мкг/д.200д.№1,0,12,1,0,3,1,0,1,5,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,4
Пульмикорт Турбухалер пор.д/инг.200мкг/д.100д.№1,11,2,3,0,0,1,1,3,6,5,0,0,0,0,6,4,0,0,1,7,0,4,2,1,2
Сероквель XR табл.пролонг.дейст.200мг №60,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Сероквель XR табл.пролонг.дейст.50мг №60,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Симбикорт Турбухалер пор.д/инг.160мкг/4.5мкг/д.60д,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Симбикорт Турбухалер пор.д/инг.320мкг/9.0мкг/д.60д,14,3,42,4,16,3,1,11,60,8,0,0,47,7,39,0,5,3,7,4,1,13,9,6,8
Симбикорт Турбухалер пор.д/инг.80мкг/4.5мкг/д.60д,4,1,38,2,10,57,40,11,87,36,0,0,22,6,34,6,0,5,5,1,0,9,42,1,4
Тагриссо табл.п/п/о 80мг №30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Фазлодекс р-р д/ин.250мг/5мл шприц 5мл №2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Форксига табл.п/п/о 10мг №30,15,37,25,2,3,37,5,15,367,5,0,0,124,44,166,23,7,5,23,15,0,8,4,9,18
,179,137,290,28,147,163,108,373,1712,71,0,0,418,132,714,87,107,28,109,101,2,106,108,67,133
